a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65
0,10,15,20,25,30,35,40,45,50,55,60,65
0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,8.27224010387575,7.97892970621639,7.67182989741849,7.35378597704949,7.02785687695595,6.69719298526044,6.36491593294441,6.03400918915792,5.70722634971454,5.38702145918377,5.07550304348296,4.77441114661285
0.004,9.2824391344184,9.09572355675604,8.89374352983322,8.67721467225198,8.4471387867359,8.20478270990312,7.95164539179722,7.6894150230114,7.41991879591255,7.14506839410329,6.86680449612934,6.58704344874735
0.006,9.68803056991361,9.55229567874187,9.40352859029822,9.24177166422805,9.06726399523724,8.88044574845628,8.68195551278794,8.47262048571412,8.25343975692571,8.02556140817241,7.79025454674501,7.54887769889065
0.008,9.91360815297179,9.80725487385383,9.68985249018192,9.56120056865544,9.42123311996515,9.27002843294797,9.1078150299419,8.93497325091863,8.75203218576266,8.55966192000225,8.35866131960956,8.14994183262508
0.01,10.0616457758,9.97435302234832,9.87754620484775,9.77093093952284,9.65430799940415,9.52758363306014,9.39077766214223,9.24402889740742,9.08759751006745,8.92186412352049,8.74732554212236,8.56458719808587
0.012,10.1692694841945,10.0953406715465,10.0130835119805,9.92216927205546,9.82233892730412,9.71341267504679,9.59529813088372,9.46799683302981,9.3316087226465,9.18633433536785,9.03247452666842,8.87042765686071
0.014,10.2531856038347,10.1891522833827,10.1177233970161,10.0385620472124,9.95138389260566,9.8559656001952,9.75215249795153,9.63986512979705,9.51910443354788,9.38995529746598,9.25258830197156,9.10725951782069
0.016,10.3220226890128,10.2656188093718,10.2025683736686,10.1325383990175,10.0552364609167,9.97041813017891,9.87789391820955,9.77753549440698,9.66928094564626,9.55313886573166,9.42919109256105,9.29759395182606
0.018,10.3806872983494,10.330351862835,10.2739827853262,10.2112565968996,10.1418817230796,10.065605028337,9.98221805919824,9.89156279702522,9.79353673156998,9.68809707493715,9.57526395307667,9.45512243826995
0.02,10.4321756298419,10.3867880920607,10.3358768394811,10.2791303630332,10.2162626201518,10.1470188171877,10.0711810114577,9.98857337997889,9.89906699899836,9.80258398172097,9.69910083171127,9.5886508864579
0.022,10.4784208780897,10.4371499063942,10.3907855992166,10.3390292618033,10.2816027861915,10.218253788497,10.1487606446047,10.0729372988633,9.99063771610224,9.90175984764766,9.80624898756541,9.70410040636502
0.024,10.5207263199252,10.4829382936204,10.4404247165466,10.3928997471023,10.3400943527741,10.2817609014461,10.2176777032509,10.1476533988913,10.0715310855708,9.98919207041449,9.90055914401728,9.80559927383711
0.026,10.5600026180958,10.5252036376165,10.4859968159944,10.4421087896446,10.3932800297559,10.339268969875,10.2798561189511,10.2148480724676,10.144081329441,10.0674258209444,9.98478805683878,9.89611380187219
0.028,10.5969053650554,10.564703060215,10.5283699730369,10.4876446429471,10.4422770678416,10.3920324357237,10.3366948653271,10.2760710815849,10.2099939471282,10.138325768455,10.0609612953609,9.97783033496083
0.03,10.6319185908651,10.6019961385462,10.5681865305722,10.530239550619,10.4879145178614,10.4409836785108,10.389235622186,10.3324786595869,10.270544093542,10.2032893127998,10.1306006372285,10.0523958446496
0.032,10.6654074800339,10.6375054309125,10.6059320373403,10.5704476479709,10.530820573211,10.4868301828305,10.4382700389986,10.3849510098096,10.3267043042979,10.2633843672237,10.1948715708214,10.1210746414677
0.034,10.6976527759566,10.671556034564,10.6419803766974,10.6086960502082,10.5714799638432,10.5301185292943,10.4844105456176,10.4341700781313,10.3792292801667,10.3194411034063,10.2546818412404,10.1848534497967
0.036,10.728873888238,10.704402187464,10.6766241573782,10.6453193102984,10.6102727345491,10.5712777130098,10.5281383884281,10.4806724334264,10.4287136797249,10.3721146585874,10.3107490030852,10.2445136626433
0.038,10.7592448061537,10.7362456083973,10.7100956916674,10.6805832372895,10.6475010905867,10.610649182883,10.5698370028644,10.5248860800862,10.4756324403079,10.4219289899771,10.3636477857312,10.3006821444224
0.04,10.7889053022545,10.7672484215469,10.7425817951703,10.7147017201988,10.6834083855117,10.6485081200527,10.6098156917653,10.5671566240783,10.520369493991,10.4693081736039,10.4138439755006,10.3538676618702
0.042,10.8179689759591,10.7975424436723,10.7742344317674,10.7478488419655,10.7181928097358,10.68507879821,10.6483267431887,10.607766219574,10.5632385970008,10.514599150387,10.4617190897322,10.4044874728741
0.044,10.8465291302899,10.827235974682,10.8051785037344,10.7801677532249,10.7520174285813,10.7205458610551,10.6855780147598,10.6469475178675,10.6044986889221,10.5580885273351,10.5075886357929,10.4528870416341
0.046,10.8746631335108,10.8564188410275,10.8355176420492,10.8117772738694,10.7850176572838,10.755062729309,10.7217423260892,10.684894091825,10.6443653874349,10.6000151709106,10.5517158200615,10.4993548676464
0.048,10.9024357026085,10.885166194822,10.865338571252,10.8427768734097,10.8173069052874,10.7887579549788,10.7569645654988,10.721768332832,10.6830197073073,10.6405797727861,10.5943219769505,10.5441337852859
0.05,10.9299014072476,10.9135414126848,10.8947144421264,10.8732504763617,10.8489808924072,10.8217400847699,10.7913671347072,10.7577075074256,10.7206147553943,10.6799522044702,10.635594598406,10.5874296766249
0.052,10.957106601894,10.9415983337522,10.9237074061719,10.9032694038301,10.8801209877082,10.8541014253783,10.8250541679457,10.792828455257,10.7572809293776,10.718277234976,10.6756935842014,10.629418262973
0.054,10.9840909328792,10.9693830061783,10.9523706257665,10.9328946717113,10.910796819874,10.8859209894468,10.8581148357203,10.8272312711551,10.7931299963704,10.7556790214012,10.7147561565978,10.6702504518959
0.056,11.0108885256459,10.9969350636191,10.9807498592456,10.9621788039183,10.94106833801,10.9172668229116,10.8906259568237,10.8610022186755,10.8282583232022,10.7922646690545,10.752900760905,10.710056585894
0.058,11.0375289286544,11.02428882004,11.0088847222028,10.9911672759718,10.9709874532911,10.9481978601685,10.9226540818841,10.8942160559824,10.8627494573414,10.8281270785469,10.7902301879563,10.7489498472433
0.06,11.0640378702172,11.0514741478794,11.0368096996345,11.0198996739838,11.0005993576585,10.9787654151689,10.9542571691224,10.9269379078578,10.8966762058149,10.8633472410793,10.8268340937561,10.7870290082678
0.062,11.0904378701373,11.0785171879902,11.0645549645221,11.0484106324147,11.0299435913371,11.0090143891651,10.9854859424955,10.9592247839171,10.9301023224667,10.897996102797,10.8627910478484,10.8243806692986
0.064,11.1167487376417,11.1054409277922,11.0921470447067,11.0767305983543,11.0590549132743,11.0389842559962,11.0163850003083,10.9911268186588,10.9630838870232,10.9321360897406,10.8981702101425,10.861081092308
0.066,11.142987979535,11.1322656753256,11.119609369877,11.1048864586489,11.0879640156855,11.0687098713001,11.0469937261961,11.0226882910496,10.9956704397036,10.9658223633586,10.9330327125137,10.8971977129542
0.068,11.169171136907,11.1590094504356,11.1469627230872,11.1329020577579,11.1166981143349,11.0982221412998,11.0773470423965,11.0539484680582,11.0279059204826,10.9991038605375,10.9674328040959,10.9327903949706
0.07,11.1953120645758,11.1856883095144,11.1742256156964,11.1607986279282,11.145281439059,11.1275485787989,11.1074760362736,11.0849423066154,11.0598294511518,11.032024160097,11.0014188061137,10.9679124767116
0.072,11.2214231643167,11.2123166166049,11.2014146004686,11.1885951485333,11.1737356436627,11.1567137679727,11.1374084842986,11.1157010409674,11.0914759900447,11.0646222086223,11.0350339122146,11.0026116489553
0.074,11.247515580556,11.2389072709287,11.2285445344158,11.2163086478242,11.2020801502411,11.1857397549483,11.1671692925513,11.1462526766784,11.1228768829765,11.0969329315718,11.0683168627016,11.0369306948766
0.076,11.2735993653955,11.265471898797,11.2556288005525,11.2439544575811,11.2303324398487,11.2146463776411,11.196780868858,11.1766224081455,11.154060329102,11.1289877502772,11.1013025152564,11.0709081167989
0.078,11.2996836184348,11.2920210162471,11.2826794958667,11.2715464290272,11.2585082990253,11.2434515455915,11.2262634386346,11.2068329730988,11.1850517766365,11.1608150213214,11.1340223302317,11.1045786694336
