a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60
0,10,15,20,25,30,35,40,45,50,55,60
0,0,0,0,0,0,0,0,0,0,0,0
0.002,9.44121462261969,9.16738120954936,8.88110548697751,8.584413930264,8.27949260710743,7.96861846257272,7.65409032250448,7.33816364039733,7.0229923641942,6.71058040428115,6.40274417803965
0.004,10.4819445313375,10.3116902307876,10.1288435091739,9.93388524122733,9.72747284258483,9.51042888460805,9.28372433161806,9.04845713451565,8.80582717466985,8.55710873546458,8.30362177159147
0.006,10.8950439156436,10.7723484810875,10.6391801409015,10.4955715773327,10.3416738307679,10.1777576129975,10.0042115174123,9.82153711217897,9.63034104739168,9.43132444747335,9.22526998521503
0.008,11.1244179525994,11.0286733257604,10.924164877248,10.8107694558702,10.6884448892999,10.5572340135069,10.4172669330483,10.268761380232,10.1120211115049,9.94743235569973,9.77545840639276
0.01,11.2752603556836,11.1968276199636,11.1109085621546,11.017321188268,10.9159415166971,10.8067079320852,10.689624469006,10.5647628946322,10.4322634952701,10.2923345133629,10.1452502272899
0.012,11.3853578968212,11.3189793755926,11.2460831435304,11.1664662521478,11.0799690328762,10.986479160952,10.8859350332129,10.7783283502946,10.6637058129572,10.5421698661609,10.4138784521437
0.014,11.4716275437026,11.4141260232443,11.3508599965426,11.2816219016819,11.2062375465044,11.1245697510488,11.0365215279549,10.9420387123923,10.8411119640104,10.7337780777613,10.6201205578048
0.016,11.5427766838004,11.4920871892901,11.4362332484663,11.3750100975371,11.3082393943567,11.2357724478573,11.1574931233262,11.0733203522613,10.9832101820508,10.8871573097354,10.7851960554401
0.018,11.6037444470091,11.5584499126281,11.5084791878632,11.4536336769109,11.3937361622275,11.3286336670132,11.2582000823257,11.1823385009158,11.1009832039048,11.0141012523124,10.9216936431042
0.02,11.6575412687645,11.6166274023959,11.5714418560534,11.5217936301801,11.4675093349378,11.4084357372003,11.3444421315735,11.2754224878344,11.2012973297614,11.122015304309,11.0375544054368
0.022,11.7061066786752,11.6688226614093,11.6276072839222,11.5822776039321,11.5326654033306,11.4786194666965,11.4200077248791,11.356719224025,11.2886658821274,11.215783997957,11.1380354810898
0.024,11.7507466826804,11.7165212639321,11.6786545970088,11.6369717694639,11.5913103372415,11.5415223749275,11.4874764202265,11.429059279283,11.3661776606298,11.2987596075471,11.2267557014664
0.026,11.792372969839,11.7607614842034,11.7257588906769,11.6871980360751,11.6449224404225,11.5987881525047,11.5486655208571,11.4944408517541,11.4360179265821,11.3733193524617,11.3062877221427
0.028,11.8316413458583,11.8022909214771,11.7697672097168,11.7339104323479,11.6945700334664,11.6516063681262,11.6048923221629,11.554314838735,11.4997763277051,11.4411959351134,11.3785106516652
0.03,11.869035673386,11.8416616210119,11.8113056102169,11.7778148090375,11.7410444192544,11.7008592210791,11.6571350609495,11.6097602611735,11.5586369306065,11.5036821564352,11.4448290584605
0.032,11.9049208042403,11.8792901370856,11.8508468624891,11.8194446589121,11.7849442531782,11.7472148402712,11.7061354554037,11.6615962797284,11.6134998614128,11.5617622345074,11.5063139191091
0.034,11.9395770921978,11.9154967401865,11.8887547014761,11.8592107415799,11.8267308487519,11.7911885447774,11.7524661551825,11.7104560224102,11.6650616458005,11.6161987327895,11.5637961466304
0.036,11.9732235543231,11.9505317549756,11.9253135853457,11.8974344969113,11.8667654655406,11.8331842065884,11.7965763550575,11.7568365961965,11.7138697321459,11.6675916707326,11.6179303232596
0.038,12.0060338102997,11.9845937015819,11.9607492127025,11.9343711066158,11.9053350749097,11.8735228684319,11.8388233974959,11.8011337885742,11.7603603845952,11.716419676383,11.6692391534117
0.04,12.0381472972098,12.0178420695296,11.9952429818328,11.9702257618995,11.9426705539717,11.9124629744299,11.8794951406988,11.8436666615935,11.8048855775083,11.7630692392214,11.7181451146334
0.042,12.0696773166511,12.0504064899205,12.0289423809181,12.0051653629863,11.9789597825139,11.9502149477874,11.9188260940488,11.8846953140895,11.8477324438865,11.8078558931181,11.764993410876
0.044,12.1007169111054,12.082393437507,12.0619685853007,12.0393270801764,12.0143572345104,11.9869518763632,11.9570092571355,11.9244339281752,11.8891375767995,11.8510398124895,11.8100688944493
0.046,12.1313432233344,12.1138912054014,12.094422100133,12.0728247166389,12.0489911120812,12.0228174668337,11.9942049403359,11.9630604987691,11.9292977058526,11.8928374683212,11.853608728042
0.048,12.1616207768332,12.1449736504387,12.1263870109885,12.1057535044546,12.0829687264415,12.0579320487265,12.0305474281945,12.0007241900319,11.9683777771992,11.9334304584556,11.8958119875622
0.05,12.191603976543,12.1757030496021,12.1579342272653,12.1381937662569,12.1163806086294,12.0923971642313,12.0661500770041,12.0375509676158,12.0065171450884,11.9729722803191,11.9368470347144
0.052,12.2213390378192,12.2061323042981,12.1891239862487,12.1702137436421,12.1493036865945,12.1262991177445,12.1011092596777,12.0736479604709,12.0438343705801,12.0115935845232,11.9768572411066
0.054,12.2508654905625,12.2363066598231,12.2200078072629,12.2018718054765,12.181803767021,12.1597117502066,12.1355074509731,12.1091068744277,12.0804309797704,12.0494062925487,12.0159654784625
