a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65,T_70
0,10,15,20,25,30,35,40,45,50,55,60,65,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,9.7392552270102,9.47639120567006,9.19950839710828,8.91042461710662,8.61117275904203,8.30393726145292,7.99098642205632,7.67460474001806,7.35702916657198,7.04039249886831,6.72667627655591,6.4176745653948,6.1149690606441
0.004,10.7026574364096,10.5426737612232,10.3698106314646,10.1843822772582,9.98688322210022,9.77798242864324,9.5585117599905,9.32944918069811,9.09189742569516,8.84705911701072,8.59620948524846,8.34066794140111,8.08176974111483
0.006,11.0807912645472,10.9664675217841,10.8417147335681,10.7064602791676,10.5607451430124,10.4047280337308,10.2386865909582,10.0630155306682,9.87822171603086,9.6849162828993,9.48380408663023,9.27567085984474,9.06136856990782
0.008,11.2903393230443,11.2015509216575,11.104146639095,10.9979329600286,10.8827915550429,10.758684815483,10.6256598317147,10.4838506240801,10.3334784949771,10.1748504394594,10.0083556267199,9.8344600412758,9.65369944582971
0.01,11.4283447119004,11.3558465990655,11.2760436519617,11.1887040346457,11.0936485415334,10.9907558249978,10.8799667261438,10.7612875505821,10.6347921583955,10.500622772338,10.3589894492075,10.2101682043097,10.0544978256593
0.012,11.5293874886784,11.4681868569685,11.4006575762493,11.3265597241511,11.2456919248218,11.1578959539707,11.0630607930334,10.9611260094219,10.8520843532457,10.7359834795121,10.6129267281066,10.4830729209366,10.3466351653294
0.014,11.6088751999991,11.5559741709742,11.4974948331513,11.4332011970664,11.3628865221333,11.2863773118836,11.2035369529857,11.1142689026377,11.0185193357775,10.9162791740166,10.8075854320925,10.6925218345562,10.5712186747568
0.016,11.6747129449468,11.6281718398095,11.5766453518084,11.5199062385805,11.457750081014,11.389998752219,11.3165036464325,11.2371485929349,11.1518523836253,11.0605708490279,10.9632984261422,10.8600691725162,10.7509571939108
0.018,11.7313744221058,11.6898666050083,11.6438529202336,11.5931165957747,11.5374590731225,11.4767030377886,11.4106952824836,11.3393093431263,11.262447849722,11.1800445378627,11.0920658721718,10.9985122403806,10.8994186857019
0.02,11.7815816192184,11.7441599932043,11.7026278684651,11.6567792802699,11.6064230671569,11.5513855390014,11.4915130250972,11.4266742536745,11.3567625152237,11.2816975643092,11.2014272182742,11.115928616334,11.0252091089411
0.022,11.8270858246032,11.7930507788833,11.7552365658791,11.7134477385192,11.6675010647436,11.6172278952141,11.5624764429086,11.5031139345245,11.4390285940697,11.3701314204948,11.2963577237751,11.2176683874842,11.134050830555
0.024,11.8690649874653,11.8378851560939,11.8032076806968,11.7648470717467,11.7226280474079,11.6763876507496,11.6259773008832,11.571264744491,11.5121358743867,11.4484963827179,11.3802732182217,11.3074158196038,11.2298971005864
0.026,11.9083406567337,11.8796030307529,11.8476098083944,11.8121847989371,11.7731604335723,11.7303796720474,11.6836978588371,11.6329845004175,11.578124935243,11.5190218686745,11.4555967464181,11.387790942021,11.3155667366271
0.028,11.945503348482,11.9188805976619,11.8892124972465,11.8563314816328,11.8200773342337,11.7802989156504,11.7368558526419,11.6896201635135,11.6384777954977,11.5833300501472,11.5240948737326,11.4607079911661,11.393123864036
0.03,11.9809884730661,11.9562168149503,11.9285840681284,11.8979306433844,11.8641032644623,11.8269565437469,11.7863545270186,11.7421721861592,11.6942968386005,11.6426294726239,11.5870859583665,11.527598125579,11.464114690827
0.032,12.015124166091,11.9919879459229,11.9661533957451,11.9374682966499,11.9057858890258,11.8709663169358,11.8328780477428,11.7913992485037,11.7464191005632,11.6978390340091,11.6455738642357,11.5895528138163,11.5297204042124
0.034,12.0481624481288,12.0264831278374,12.0022502453098,11.9753183948462,11.9455469189871,11.9128012390161,11.8769541653694,11.8378871716557,11.7954916158977,11.7496698927864,11.7003365012102,11.6474190120962,11.5908589226938
0.036,12.0803001201388,12.0599282456831,12.0371323738581,12.0117734046053,11.9837163880659,11.9528317556545,11.9189965345992,11.8820955314644,11.8420224700905,11.798681069532,11.7519860479611,11.7018640391512,11.6482544090619
0.038,12.1116931339758,12.0925023640893,12.0710042001124,12.0470653873262,12.02055631382,11.9913521542068,11.9593339995504,11.9243899605424,11.8864162309006,11.8453180980852,11.8010108887556,11.7534208369368,11.7024858636338
0.04,12.1424666974854,12.1243492900954,12.1040299523219,12.081380858222,12.05627739077,12.0285992083765,11.9982312997526,11.9650650154492,11.9289990643484,11.8899404634961,11.8478054299467,11.8025202037609,11.7540217919579
0.042,12.1727225216202,12.1555858708711,12.1363431100362,12.1148714651653,12.0910509975171,12.064765601495,12.0359039925999,12.0043606748322,11.9700368769376,11.9328414469973,11.8926916951102,11.8495141743258,11.8032453905604
0.044,12.2025441101587,12.1863080536782,12.16805330389,12.1476617978758,12.1250179839354,12.1000097582893,12.0725293931156,12.0424744463022,12.009748643274,11.9742627213529,11.9359352273373,11.8946932593447,11.8504731444694
0.046,12.2320006822536,12.2165953818612,12.1992514375515,12.1798551885561,12.1582952027397,12.1344631583802,12.1082547183268,12.0795703877388,12.0483163466018,12.0144052483151,11.9777569758508,11.9382993473085,11.8959687631387
0.048,12.2611501230384,12.2465143783554,12.2300135442668,12.2115380819137,12.1909804332251,12.1682358532266,12.143203235555,12.1157859231016,12.0858924957111,12.0534375269587,12.018342302223,11.9805354905637,11.9399537633165
0.05,12.2900412321202,12.276121125147,12.2604037283089,12.2427833699581,12.2231561407365,12.2014206811446,12.1774789629775,12.1512370571813,12.1226058806976,12.0915019149619,12.0578478889034,12.0215734195608,11.9826156037954
0.052,12.3187154574456,12.3054632531125,12.2904764350234,12.2736529668194,12.2548923808806,12.2340965252834,12.211170305156,12.1860224115379,12.1585660308778,12.1287195284049,12.0964070987772,12.0615593776607,12.024114008227
0.054,12.3472082469088,12.3345814937101,12.3202782217152,12.3041998182569,12.2862490671851,12.2663308588354,12.2443528948186,12.2202263812304,12.1938667039185,12.1651940795438,12.1341341763384,12.1006186986915,12.0645859300052
0.056,12.3755501125408,12.3635109010976,12.3498491529058,12.3344694855505,12.3172777592469,12.2981817530097,12.2770918359826,12.2539216279649,12.2285886432208,12.2010149117585,12.1711275724219,12.1388594323584,12.104149487709
0.058,12.4037674761488,12.3922818235549,12.3792239097446,12.3645014053633,12.3480230856384,12.3296994755723,12.3094434905648,12.2871710668957,12.2628017765551,12.2362594210095,12.2074725986429,12.1763752408248,12.1429071118123
0.06,12.4318833470367,12.4209206822256,12.4084326796427,12.3943299003641,12.3785238857478,12.3609277741553,12.341456913318,12.3200294631317,12.2965669837285,12.2709950037728,12.2432435640817,12.2132477318652,12.1809480811257
0.062,12.4599178694661,12.4494506003428,12.4375018753031,12.4239849963027,12.4088141332624,12.3919049145524,12.3731750132913,12.3525447245632,12.3299375287245,12.3052806360768,12.2785055083264,12.2495483524385,12.2183505827285
0.064,12.4878887681609,12.4778919153918,12.4664547201362,12.453493087446,12.4389236885092,12.4226645268959,12.404635500752,12.3847589563324,12.3629602283422,12.3391681626551,12.3133156171222,12.2853399363648,12.2551833966631
0.066,12.5158117133436,12.5062625988582,12.4953117281609,12.4828774822258,12.4688789155491,12.4532362999502,12.4358716644226,12.4167093266923,12.3956764122165,12.3727033564612,12.3477243864373,12.3206779776455,12.2915072827896
0.068,12.5437006217667,12.5345786024489,12.5240910999322,12.5121588535249,12.4987031915677,12.4836465544046,12.4669130134822,12.4484287824751,12.4281227164133,12.4059267948954,12.3817765856089,12.3556116845424,12.3273761294769
0.07,12.5715679064627,12.5628541453884,12.5528090511557,12.5413556124969,12.5284173298737,12.5139187190769,12.4977858110122,12.4799466437901,12.4603317433177,12.438874588701,12.4155120588989,12.3901848572289,12.3628379105196
0.072,12.5994246851242,12.5911019541694,12.581480086974,12.5704842206549,12.5580399331335,12.5440737286854,12.5285135197165,12.5112891010862,12.4923326133801,12.4715789916454,12.4489663962309,12.4244366225328,12.3979354866265
0.074,12.6272809548972,12.6193334636938,12.6101172321241,12.5995594518041,12.5875876899065,12.5741303578597,12.5591171762999,12.5424796327832,12.5241514288486,12.5040689131316,12.4821714973589,12.4584020522036,12.4327072801581
0.076,12.6551457397386,12.6475589868697,12.6387322250357,12.6285946129807,12.6170756248251,12.6041055030054,12.5896157074829,12.5735393578998,12.5558116654456,12.5363703513091,12.5151560487147,12.4921126856933,12.4671878459009
0.078,12.683027215237,12.6757878582904,12.6673356822937,12.6576017316921,12.6465173106608,12.6340144212826,12.6200261980009,12.6044873351836,12.5873345047229,12.5685067607047,12.5479459283064,12.5255969742252,12.5014083561014
0.08,12.7109328148186,12.7040285565032,12.6959372386164,12.686591715309,12.6759250488838,12.6638709341234,12.6503641188901,12.6353408179824,12.6187391173206,12.6004993656443,12.5805645510252,12.5588806596426,12.5353970144202
0.082,12.7388693205004,12.732288808503,12.7245456664995,12.7155744873251,12.7053100240478,12.6936876012816,12.6806435227631,12.6661154723127,12.6500429053903,12.6323674285667,12.6130331643501,12.5919870989447,12.5691794106711
0.084,12.7668429407536,12.7605756793932,12.7531689788924,12.744559104312,12.7346824363236,12.7234758702764,12.7108772115133,12.696825564183,12.6812617108904,12.6641284806296,12.645371102569,12.6249375433858,12.6027788259995
0.086,12.7948593775643,12.7888956496172,12.7818145176516,12.7735538566865,12.764051615708,12.7532462051969,12.7410768808859,12.7274841211132,12.712409995233,12.6957985206487,12.6775960061534,12.6577513793911,12.636216496396
0.088,12.8229238844027,12.817254681726,12.8104890300187,12.8025663558477,12.7934261207994,12.7830081981192,12.7712532455586,12.7581030719065,12.7435009947772,12.7273921873335,12.7097240117372,12.6904463372489,12.6695118410351
0.09,12.8510413165086,12.845658278301,12.8391987349738,12.8316036097882,12.8228138245201,12.8127706658161,12.8014161477291,12.788693368016,12.7745468558758,12.7589229089089,12.7417699171937,12.7230386725009,12.7026826608
0.092,12.8792161746561,12.8741115323698,12.8679493809977,12.8606720889224,12.8522219887576,12.8425417339775,12.8315746516953,12.8192650892748,12.8055587525475,12.7904030335172,12.7737473255422,12.7555433241087,12.7357453114395
0.094,12.9074526433653,12.9026191714299,12.8967462965116,12.8897777835771,12.8816573295605,12.8723289107834,12.8617371264929,12.8498275362913,12.8365469893275,12.8218439432187,12.8056687707844,12.7879740527954,12.7687148550618
0.096,12.9357546243673,12.9311855960045,12.9255944340593,12.9189262543541,12.9111260742567,12.9021391513714,12.8919113183142,12.8803893114338,12.8675210914335,12.853256153952,12.8375458282665,12.8203435624038,12.8016051930631
0.098,12.9641257659974,12.9598149135105,12.9544984091178,12.9481226763746,12.9406340116397,12.9319789144855,12.9221044141557,12.9109583900158,12.8984898840343,12.8846494034316,12.8693892117432,12.8526636066555,12.8344291830957
0.1,12.9925694890842,12.9885109680901,12.9834625342872,12.9773718782585,12.9701865361856,12.961854212394,12.9523230979078,12.94154218304,12.9294615621304,12.9160327286481,12.9012088589779,12.8849450833215,12.867198742266
0.102,13.0210890098141,13.0172773669584,13.0124908494873,13.0066783765547,12.999788687115,12.9917706549919,12.9825735999184,12.9721475926471,12.9604437523199,12.9474145343815,12.93301400743,12.917198117504,12.8999249384217
0.104,13.0496873599767,13.0461175037338,13.0415871486989,13.0360464062327,13.029445182988,13.0217334888646,13.0128617408968,13.0027810612419,12.9914435675285,12.9788026539188,12.9648132613433,12.9494321354719,12.9326180711011
0.106,13.0783674049348,13.0750345791472,13.0707550037015,13.0654799477518,13.0591604524192,13.0517476319727,13.0431929709027,13.0334486151227,13.022467655623,13.0102044029964,12.996614651357,12.9816559302784,12.9652877434866
0.108,13.107131859615,13.104031619469,13.0999977851958,13.0949827511492,13.0889386614122,13.0818177045223,13.0735724040488,13.064155903321,13.0535222426933,13.0416266278308,13.028425687594,13.0138777202088,12.9979429265103
0.11,13.1359833027673,13.1331114929437,13.1293186816428,13.1245583575243,13.11878373774,13.1119480565016,13.10400484946,13.0949082322534,13.0846131716728,13.0730757479843,13.0602534070463,13.0461052009589,13.0305920160918
0.112,13.1649241897118,13.162276924479,13.1587207161019,13.1542101182428,13.1486993927399,13.1421427922987,13.1344948389521,13.1257105967058,13.1157459368743,13.1045577947017,13.0921044159598,13.0783455923149,13.0632428843545
0.114,13.1939568637561,13.1915305088034,13.1882067613143,13.1839412121392,13.1786891408372,13.1724057927549,13.1650466518302,13.1565677075956,13.1469257149386,13.1360784452676,13.1239849278266,13.1106056800001,13.0959029255465
0.116,13.2230835664438,13.220874722277,13.2177795532421,13.2137546609585,13.2087563170708,13.2027407349625,13.1956643371517,13.1874840168973,13.1781573926231,13.1676430538613,13.155900797506,13.1428918532654,13.1285790972967
0.118,13.2523064467735,13.2503119335139,13.2474417032445,13.243653343244,13.238904092856,13.2331511100719,13.226351733752,13.218463740065,13.2094455918021,13.1992566793174,13.1878575519294,13.175210138719,13.16127795775
0.12,13.2816275695055,13.2798444129553,13.2771957090517,13.2736400068524,13.2691354901892,13.2636402393393,13.2571124882926,13.2495108762421,13.2407946920021,13.2309241101516,13.2198604177824,13.2075662308302,13.1940056990553
0.122,13.3110489226637,13.3094743415123,13.307043964671,13.3037172802529,13.2994533944728,13.2942112886152,13.2879500715558,13.2806292265086,13.2722088507499,13.2626498871601,13.2519143465061,13.2399655194826,13.2267681776191
0.124,13.340572424321,13.3392038183842,13.3369887693483,13.3338876827469,13.3298605661145,13.324867281449,13.3188677931842,13.3118224103874,13.3036920219808,13.2944383238658,13.2840240369179,13.2724131149064,13.259570941484
0.126,13.3701999287495,13.3690348681426,13.3670323356874,13.3641536337274,13.3603596510364,13.3556111109623,13.349868815035,13.3430938808004,13.3352479727184,13.3262935250461,13.3161939557126,13.3049138702764,13.2924192551471
0.128,13.3999332320026,13.3989694471625,13.3971767970195,13.3945174610832,13.3909531902142,13.3864455506251,13.3809561633008,13.3744469376428,13.3668802982151,13.3582194035522,13.3484283560732,13.3374724022285,13.3253181220953
0.13,13.4297740769928,13.4290094494696,13.4274242141041,13.4249814088399,13.4216436283481,13.4173732640521,13.412132739528,13.4058847401239,13.3985924357161,13.3902196955996,13.3807312945923,13.370093109516,13.3582723052987
0.132,13.4597241581166,13.4591567120667,13.4577765812312,13.4555476441173,13.4524333217587,13.448396813923,13.4434013306501,13.4374103180041,13.4303876769933,13.4222979746926,13.4131066466828,13.4027801900002,13.3912863458763
0.134,13.4897851254743,13.489413019792,13.4882358317876,13.4862182634756,13.4833245455886,13.479518670117,13.4747646181366,13.4690265818415,13.4622691797745,13.4544576643237,13.4455581206322,13.4355376561484,13.4243645801233
