a_w,T_10,T_15,T_20,T_25,T_30,T_35,T_40,T_45,T_50,T_55,T_60,T_65,T_70
0,10,15,20,25,30,35,40,45,50,55,60,65,70
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,1.16372439111098,1.03753302192948,0.928612233208291,0.834188709231513,0.751992976151059,0.680158177858274,0.617140987871674,0.561659449231025,0.512643840850927,0.469197628295736,0.430566266469324,0.396112149853431,0.365294401541938
0.004,2.09590982525185,1.87255316146768,1.67932025919666,1.51143785864372,1.3649891551547,1.23674375162078,1.12402438017643,1.02460183576888,0.936611688467953,0.858487907235778,0.788909689843369,0.726758661446224,0.671084256497248
0.006,2.8605040971288,2.56006862933059,2.29967195340853,2.07303667100557,1.87500083080063,1.70129845253287,1.54838710651632,1.41331168498575,1.29359617788049,1.18715724349832,1.09223483580179,1.00733625170276,0.9311907913877
0.008,3.49989937427724,3.13682655955154,2.82166397406206,2.54696464288956,2.30659462266218,2.09547648070568,1.90938741095617,1.74479944993252,1.59875232676235,1.46875175490128,1.35268766773227,1.2487681711525,1.15546594524493
0.01,4.04330887431207,3.62831004220619,3.26761907668826,2.95285468392552,2.67710400206416,2.43463735837415,2.22068346366258,2.03125124295344,1.86298786675133,1.71306504261835,1.57908748925247,1.45901891403685,1.35112187191459
0.012,4.51151896364101,4.05274692104556,3.65358526927566,3.30488951295049,2.99910889724536,2.72997827421412,2.49227498003161,2.28162593504898,2.09435377181143,1.92735346364571,1.77799291950358,1.64403250925425,1.52355961705561
0.014,4.91972334180434,4.42352031030676,3.99139582728695,3.61357021657921,3.28196070422087,2.98985462172422,2.73165131663401,2.5026571908426,2.29892206181124,2.11710784653787,1.95438266560077,1.80833504299634,1.67690407237014
0.016,5.27928546130521,4.75067793665779,4.28996774438074,3.88683811253839,3.53275560009241,3.22062779133026,2.94453274692534,2.69950398348225,2.48135867590176,2.28655969359018,2.11210426438419,1.95543370386428,1.81435989300872
0.018,5.59887399190713,5.04191030829873,4.55614802047379,4.1308099542769,3.75697576749598,3.42722654633741,3.13536371810696,2.8761855104791,2.64530823300207,2.43902266634764,2.25417809876656,2.08808824758037,1.93845459091664
0.02,5.88521696784167,5.30320371580331,4.79528141090292,4.35027350671191,3.95892360877478,3.61352885440062,3.30764978919249,3.03587951153494,2.79365900521811,2.5771286690141,2.38300836616277,2.2085000613357,2.05120843573825
0.022,6.14361609756948,5.53928755436314,5.01160102958559,4.5490299189071,4.14202293764063,3.782627778312,3.46419314651388,3.18113155161728,2.92872946668621,2.70299462811645,2.50053261131358,2.31844660305818,2.15425564500501
0.024,6.37830574346873,5.75394777842875,5.20850310276662,4.73013544126002,4.30903238244534,3.93702051977534,3.60726061284,3.31400480203477,3.05240222483573,2.81834259662222,2.60832972963985,2.41937878255326,2.24893241354871
0.026,6.59270867950653,5.95025100706469,5.38874407169541,4.89607539869547,4.4621994703894,4.07874533716837,3.7387056952968,3.43618916335012,3.16622187140286,2.9245877432602,2.70769930204501,2.51249267862632,2.33634190635932
0.028,6.78962167084365,6.13070764595068,5.55458449590546,5.04889158175674,4.60337377779441,4.20948236901561,3.86005870131539,3.54908204894082,3.27146760569528,3.02290381804481,2.79972076316198,2.5987831509858,2.41740295417477
0.03,6.97135235865111,6.29739254659397,5.70789578799862,5.19027698530349,4.73409129543294,4.33062899700925,3.9725942622803,3.65384905937325,3.3692079056787,3.11427254543462,2.88529814059689,2.67908446413121,2.49288702826661
0.032,7.13982173225512,6.45203556241568,5.85024051789819,5.32164725901354,4.85563820465356,4.44335694660461,4.07738260779077,3.75147015495737,3.46034221935146,3.19952136772458,2.96519431000682,2.75410145165272,2.56344665881802
0.034,7.29664187590543,6.59609041404445,5.98293361969287,5.44419528552788,4.96909969739849,4.54865608780502,4.17532897671951,3.84277521534326,3.54563313473682,3.27935262306766,3.04005752460321,2.82443369479934,2.6296375211754
0.036,7.44317568136718,6.73078769262512,6.1070895976226,5.55893335851662,5.07539777810921,4.64736841515928,4.26720424839676,3.92847172716444,3.62573147236019,3.35436634324831,3.1104421781925,2.89059447641924,2.6919357771016
0.038,7.58058322510389,6.85717610603511,6.22365933041596,5.66672612757759,5.17532084345904,4.74021468339512,4.35366899417518,4.00916656047163,3.70119605255388,3.42507824164703,3.1768252129363,2.95302578161458,2.75075181923676
0.04,7.70985815988067,6.97615490213015,6.33345905321675,5.76831658506123,5.26954705336835,4.82781548625948,4.43529254125248,4.08538325572836,3.77250941102258,3.4919340350716,3.23961920166214,3.01211027477259,2.80644126004492
0.042,7.83185654225089,7.08849959509797,6.43719339041911,5.86434675102271,5.35866296231025,4.91070808560726,4.51256821517435,4.1575758653043,3.84009039957421,3.55532094254836,3.29918286535311,3.06818094090273,2.85931378891354
0.044,7.94731986877857,7.19488255497186,6.53547381697737,5.95537427678292,5.44317849567579,4.98935995784708,4.58592562577307,4.22614012489508,3.90430436924365,3.61557698963335,3.35582959390389,3.12152890596483,2.90964036480317
0.046,8.05689363435958,7.29588961839935,6.62883357287251,6.04188587671438,5.52353908121449,5.06417978124874,4.65574064465324,4.29142253706524,3.96547146020017,3.67299859178918,3.40983439883934,3.17240982521271,2.95765909828748
0.048,8.16114239628727,7.39203358968164,6.71773980107376,6.12430827333077,5.60013554669965,5.13552641093672,4.72234356489673,4.35372780841316,4.02387339674468,3.72784677708211,3.46143962463285,3.22104913641036,3.00358009339019
0.05,8.26056208828054,7.48376529074221,6.8026034938769,6.2030171767103,5.67331224939224,5.20371625881532,4.78602581797825,4.41332497829037,4.07975909272775,3.78035232476838,3.51085966974709,3.26764640646953,3.04758945769008
0.052,8.3555901528909,7.57148266392855,6.88378769580599,6.27834469814375,5.74337379518435,5.26902939964174,4.84704553700518,4.47045249999297,4.13334930346871,3.83072003390629,3.55828491209391,3.31237894893774,3.08985264274536
0.054,8.44661393028443,7.65553831653411,6.96161430949077,6.35058550754871,5.81059062484717,5.33171465260316,4.90563219102794,4.52532247752805,4.18484050818688,3.87913228911783,3.60388499105785,3.35540485115924,3.13051724178196
0.056,8.53397764369909,7.73624580962662,7.0363697744401,6.42000197617692,5.87520368414493,5.39199383348706,4.96199046648436,4.57812421726558,4.23440816746095,3.92575205491267,3.64781156585987,3.39686552052534,3.16971534481411
0.058,8.61798824803339,7.81388492843103,7.1083098306309,6.48682849448958,5.93742834843845,5.45006533120142,5.01630353471034,4.62902722033892,4.28220947002412,3.97072540263729,3.69020064521649,3.43688783665097,3.20756553078036
0.06,8.69892035172805,7.88870612163355,7.17766353448573,6.55127511552736,5.99745773702635,5.50610713066656,5.06873581590054,4.67818371590692,4.32838565991775,4.01418365300353,3.73117456406809,3.47558597884503,3.24417456033227
0.062,8.7770203788446,7.9609342585869,7.24463666063948,6.61353064358505,6.05546552513887,5.56027937954847,5.119435327789,4.72573081541981,4.37306401694439,4.05624520074004,3.77084366822118,3.51306298462983,3.27963882047475
0.064,8.85251010475182,8.03077182363791,7.30941459636828,6.67376526428139,6.11160834022736,5.61272657717324,5.16853569006797,4.77179235243277,4.4163595492231,4.09701707506365,3.80930775604929,3.54941208438513,3.3140455624873
0.066,8.92558967271488,8.0984016435635,7.37216481481625,6.73213279354984,6.16602781252483,5.66357944895438,5.21615784201418,4.81648046024763,4.45837644552093,4.13659627954542,3.84665731716923,3.58471784876079,3.34747396683522
0.068,8.99644017817931,8.16398922583955,7.43303899683884,6.78877260845203,6.21885233670712,5.71295655781629,5.262411520083,4.85989692995933,4.49920932622129,4.1750709469212,3.88297460068559,3.61905717880379,3.37999606264067
0.07,9.06522589134458,8.22768477102327,7.49217485836042,6.8438113111226,6.27019859105356,5.76096569468494,5.30739653371626,4.90213438376113,4.53894432476717,4.21252133799666,3.91833453975096,3.65250016339403,3.41167752437411
0.072,9.13209617574753,8.28962491103697,7.54969772985301,6.89736416791154,6.32017285218052,5.8077050825977,5.35120387079976,4.9432772921805,4.57766002579189,4.24902070866475,3.95280555449703,3.68511082428415,3.44257836447982
0.074,9.19718715028375,8.34993421594435,7.60572192629925,6.94953635837873,6.36887213673942,5.85326442294342,5.39391665873165,4.9834028589421,4.61542828161724,4.28463606491601,3.98645025160568,3.71694776556708,3.47275353745868
0.076,9.26062313382298,8.40872650441147,7.66035193936408,7.0004240628218,6.41638519608015,5.89772580746634,5.4356110026374,5.02258179313006,4.65231492513087,4.31942882236937,4.01932603571917,3.74806474157715,3.50225346834055
0.078,9.32251790489041,8.46610598706019,7.71368347812593,7.05011541217827,6.46279338550951,5.94116451570835,5.47635671867293,5.06087898504983,4.68838039406898,4.35345538412164,4.05148564538678,3.77851115493311,3.53112451636385
0.08,9.382975803459,8.52216826705942,7.76580438034753,7.09869132020335,6.50817142621275,5.98364971433642,5.51621797742401,5.09835409951812,4.72368027929118,4.38676764848117,4.08297762419728,3.80833249454934,3.55940938294682
0.082,9.44209269747003,8.57700121832834,7.81679541269441,7.14622621460224,6.5525880749912,6.02524507215762,5.55525387000573,5.13506209811729,4.75826580763116,4.41941345631651,4.11384673606338,3.83757072189302,3.58714747160779
0.084,9.49995683307093,8.63068575846935,7.86673097537748,7.19278868114868,6.59610671457278,6.0660093024491,5.593518907486,5.17105370014473,4.79218426825554,4.45143698623791,4.14413433223393,3.8662646124858,3.61437520631209
0.086,9.55664958457275,8.68329653086583,7.9156797242792,7.23844203263835,6.63878587527343,6.10599664243296,5.63106346262054,5.20637579049354,4.82547939009618,4.48287910457546,4.17387867645788,3.89445005858738,3.64112631374435
0.088,9.61224611766152,8.7349025081611,7.96370512162278,7.28324481271653,6.68067969714822,6.14525727823569,5.66793416152854,5.24107178146031,4.85819167678519,4.51377767607544,4.20311523376503,3.92216033811527,3.66743207418883
0.09,9.66681597734958,8.78556752749284,8.0108659245813,7.32725124311609,6.7218383404062,6.18383772243072,5.70417423180638,5.27518193444105,4.89035870457412,4.544167840366,4.23187692752804,3.94942635411626,3.69332154501888
0.092,9.72042361044724,8.83535076632152,8.05721661983786,7.37051162158656,6.76230835072387,6.22178115022564,5.73982381263077,5.30874364661122,4.92201538792546,4.57408225851477,4.26019436879901,3.97627684848657,3.718821760224
0.094,9.77312883090886,8.88430716640705,8.10280781094715,7.41307267674388,6.80213298513728,6.25912769948592,5.77492023160848,5.34179170695883,4.95319421679818,4.60355133338783,4.28809606134967,4.0027385931161,3.74395790892122
0.096,9.82498723521141,8.93248781240961,8.14768656437442,7.45497788518687,6.8413525033895,6.29591473905525,5.8094982524615,5.37435852542786,4.9839254690871,4.63260340700327,4.31560858536785,4.02883656119303,3.76875349539075
0.098,9.8760505739164,8.97994027068252,8.1918967192662,7.49626775548163,6.88000442893297,6.33217710921491,5.8435902970718,5.4064743384116,5.01423740120099,4.66126493763508,4.34275676235997,4.05459408103195,3.79323048283072
0.1,9.92636708471568,9.0267088930576,8.23547916531302,7.53698008298472,6.91812378321272,6.3679473376014,5.87722664493137,5.43816739339722,5.04415641936157,4.68956065905257,4.36956380346698,4.08003297447288,3.81740942273328
0.102,9.97598179154148,9.07283508977322,8.27847209247526,7.57715017894137,6.95574329636947,6.40325583345723,5.91043561263695,5.46946411519002,5.07370723386256,4.71751372396444,4.39605144310982,4.10517368162878,3.84130957153406
0.104,10.0249367737087,9.11835757514222,8.32091121584237,7.61681107683977,6.99289359708725,6.43813106271125,5.94324371572193,5.50038925582778,5.10291299823583,4.74514583346747,4.42224005963178,4.13003537352882,3.86494899597399
0.106,10.0732714085365,9.16331258908569,8.36282997846854,7.65599371861434,7.02960338395644,6.47259970606162,5.97567581482222,5.53096603002376,5.13179543502148,4.77247735406914,4.44814878439175,4.15463605400772,3.88834466842938
0.108,10.1210225904489,9.20773409725526,8.40425973466232,7.69472712295828,7.06589958041963,6.50668680195731,6.00775524791867,5.56121623774398,5.16037494962409,4.79952742365543,4.47379560057985,4.17899265202199,3.91151255330894
0.11,10.1682249291758,9.25165397212145,8.44522991589424,7.73303853772074,7.10180747510798,6.54041587613643,6.03950395018081,5.59116037532383,5.188670733553,4.8263140476051,4.49919743286931,4.20312110542786,3.93446768548123
0.112,10.2149109293422,9.29510215710834,8.48576818121702,7.77095357811839,7.13735084915167,6.57380905917459,6.0709425627488,5.62081773635665,5.21670085818534,4.85285418610459,4.5243702288825,4.2270364371301,3.95722424157898
0.114,10.2611111534574,9.33810681559928,8.52590055386045,7.80849635227985,7.17255209185501,6.60688719331993,6.10209053162813,5.6502065034374,5.24448236005307,4.87916383359103,4.54932903333197,4.25075282440192,3.97979560492555
0.116,10.3068543700662,9.38069446641708,8.56565154546251,7.84568957545827,7.20743230595945,6.63966992973813,6.13296619773146,5.67934383171584,5.27203131853631,4.9052580911406,4.57408805559494,4.27428366208143,4.00219442474113
0.118,10.3521676886165,9.42289010719099,8.60504426922404,7.88255467408911,7.24201140357326,6.67217581715864,6.16358687897996,5.7082459251012,5.29936292674171,4.93115123252416,4.59866073139181,4.29764162026854,4.02443267021001
0.12,10.3970766824136,9.46471732685671,8.64410054312373,7.91911188073235,7.27630819372054,6.70442238279747,6.19396894527072,5.73692810586298,5.32649155625485,4.95685676456872,4.62305977916176,4.32083869707421,4.04652167992337
0.122,10.4416055008728,9.5061984083912,8.68284098419846,7.95538032081865,7.31034046235304,6.73642620633187,6.22412788702468,5.76540487828755,5.35343081637716,4.98238748239099,4.64729725166154,4.34388626691178,4.06847220715466
0.124,10.4857769721409,9.54735442275839,8.72128509477985,7.99137809201453,7.34412504557216,6.7682029876145,6.25407837794856,5.79368998697604,5.38019360838923,5.00775552000561,4.67138458325468,4.36679512476563,4.09029446137318
0.126,10.5296126970403,9.58820531493181,8.75945134147762,8.02712233693037,7.37767789672558,6.79976760873792,6.28383433257443,5.82179647030388,5.40679217532263,5.03297239675544,4.69533263330702,4.38957552682425,4.11199814635745
0.128,10.57313313518,9.62876998276419,8.79735722761296,8.06262930981486,7.41101414796927,6.83113419099323,6.313408959078,5.84973670950571,5.43323814766944,5.05804905996233,4.719151726059,4.41223722782319,4.13359249523047
0.13,10.6163576839854,9.66906634938955,8.83501935972806,8.09791443780967,7.44414816682168,6.86231614720766,6.34281480782327,5.87752247379899,5.45954258541275,5.08299592415408,4.74285168730572,4.43478951540616,4.15508630270501
0.132,10.6593047513204,9.70911142976938,8.87245350873078,8.1329923772762,7.47709360818028,6.89332622989391,6.37206381603269,5.90516496191587,5.48571601672055,5.1078229071856,4.76644187818058,4.45724124178011,4.17648795479619
0.134,10.7019918222981,9.74892139192938,8.90967466617379,8.1678770656521,7.5098634622209,6.9241765755986,6.40116734894047,5.93267484037391,5.51176847360928,5.13253946353891,4.78993122630747,4.4796008529113,4.19780545623239
